Table,Alpha,Python Original Lower,Python Original Upper,Python Improved Lower,Python Improved Upper,R Fisher Lower,R Fisher Upper,R Unconditional Lower,R Unconditional Upper
"(7,3,2,8) - Standard table 1",0.05,1.0472000000000001,104.72000000000003,1.0472000000000001,104.72000000000003,,,,
"(10,10,10,10) - Balanced small table",0.05,0.0629442,25.17768000000001,0.0629442,25.17768000000001,,,,
"(0,10,5,15) - Table with a zero",0.05,1.122e-06,0.0,1.122e-06,0.0,,,,
"(10,0,5,15) - Table with b zero",0.05,1.122e-06,5649.871392000002,1.122e-06,5649.871392000002,,,,
"(40,10,20,30) - Unbalanced medium table",0.05,0.21187017720000004,338.99228352000017,0.21187017720000004,338.99228352000017,,,,
"(100,50,60,120) - Large table 1",0.05,0.07923944627280002,507.1324561459203,0.07923944627280002,507.1324561459203,,,,
"(500,500,300,700) - Large table 2",0.05,0.02593110879277381,663.8363850950097,0.02593110879277381,663.8363850950097,,,,
"(99,1,50,50) - Extreme proportion 1",0.05,0.9609763846733823,28165.62948188827,0.9609763846733823,28165.62948188827,,,,
"(1,99,50,50) - Extreme proportion 2",0.05,5.500538228770203e-05,6.448696312351524,5.500538228770203e-05,6.448696312351524,,,,
"(5,5,90,10) - Very different group sizes 1",0.05,0.0003394382140974092,159.179619774085,0.0003394382140974092,159.179619774085,,,,
"(90,10,5,5) - Very different group sizes 2",0.05,0.015424411886800373,28933.12440861679,0.015424411886800373,28933.12440861679,,,,
"(7,3,2,8) - Standard table 1 (alpha=0.01)",0.01,0.008973580071031863,67330.59529045224,0.008973580071031863,67330.59529045224,,,,
"(10,10,10,10) - Balanced small table (alpha=0.01)",0.01,1.122e-06,638.4209349228008,1.122e-06,638.4209349228008,,,,
"(0,10,5,15) - Table with a zero (alpha=0.01)",0.01,,,,,,,,
"(10,0,5,15) - Table with b zero (alpha=0.01)",0.01,1.122e-06,143261.6577966765,1.122e-06,143261.6577966765,,,,
"(40,10,20,30) - Unbalanced medium table (alpha=0.01)",0.01,0.003236257555617134,97129.1930347124,0.003236257555617134,97129.1930347124,,,,
"(100,50,60,120) - Large table 1 (alpha=0.01)",0.01,0.0010571774681682638,126915.47889869087,0.0010571774681682638,126915.47889869087,,,,
"(500,500,300,700) - Large table 2 (alpha=0.01)",0.01,1.2828200000000002e-06,145106.69754083655,1.2828200000000002e-06,145106.69754083655,,,,
"(99,1,50,50) - Extreme proportion 1 (alpha=0.01)",0.01,0.012820919745210619,980000.0,0.012820919745210619,980000.0,,,,
"(1,99,50,50) - Extreme proportion 2 (alpha=0.01)",0.01,9.8e-07,195.98000204060813,9.8e-07,195.98000204060813,,,,
"(5,5,90,10) - Very different group sizes 1 (alpha=0.01)",0.01,2.9366040782451773e-05,3525.429969408079,2.9366040782451773e-05,3525.429969408079,,,,
"(90,10,5,5) - Very different group sizes 2 (alpha=0.01)",0.01,0.002378649303378593,285559.82752205443,0.002378649303378593,285559.82752205443,,,,
"(7,3,2,8) - Standard table 1 (alpha=0.1)",0.1,0.0013838453058322574,664529.4475135456,0.0013838453058322574,664529.4475135456,,,,
"(10,10,10,10) - Balanced small table (alpha=0.1)",0.1,1.122e-06,139551.18397784454,1.122e-06,139551.18397784454,,,,
"(0,10,5,15) - Table with a zero (alpha=0.1)",0.1,,,,,,,,
"(10,0,5,15) - Table with b zero (alpha=0.1)",0.1,1.122e-06,321479.16009574215,1.122e-06,321479.16009574215,,,,
"(40,10,20,30) - Unbalanced medium table (alpha=0.1)",0.1,0.000889614839463594,427197.5019729935,0.000889614839463594,427197.5019729935,,,,
"(100,50,60,120) - Large table 1 (alpha=0.1)",0.1,0.00033271594995938413,639087.4629515983,0.00033271594995938413,639087.4629515983,,,,
"(500,500,300,700) - Large table 2 (alpha=0.1)",0.1,1.122e-06,836565.4890036423,1.122e-06,836565.4890036423,,,,
"(99,1,50,50) - Extreme proportion 1 (alpha=0.1)",0.1,0.00538839378,1122000.0,0.00538839378,1122000.0,,,,
"(1,99,50,50) - Extreme proportion 2 (alpha=0.1)",0.1,1.122e-06,439.7791245791247,1.122e-06,439.7791245791247,,,,
"(5,5,90,10) - Very different group sizes 1 (alpha=0.1)",0.1,1.647434887895544e-05,7911.064851351731,1.647434887895544e-05,7911.064851351731,,,,
"(90,10,5,5) - Very different group sizes 2 (alpha=0.1)",0.1,0.0007486108874086144,1122000.0,0.0007486108874086144,1122000.0,,,,
