Alpha,Method,Lower,Upper,Time
0.05,ExactCIs Original,1.0472000000000001,104.72000000000003,0.05948495864868164
0.05,ExactCIs Improved,1.0472000000000001,104.72000000000003,3.0994415283203125e-05
0.05,SciPy Approximation,1.1934551656393486,72.99068588340698,0.0007250308990478516
0.05,R Fisher's Exact,0.882117,127.055842,
0.05,R Unconditional,0.882117,127.055842,
0.01,ExactCIs Original,0.5874792000000002,234.9916800000001,0.05447816848754883
0.01,ExactCIs Improved,0.5874792000000002,234.9916800000001,2.384185791015625e-05
0.01,SciPy Approximation,0.625363732073129,139.2967110873716,0.0004189014434814453
0.01,R Fisher's Exact,0.521258,307.93648,
0.01,R Unconditional,0.521258,307.93648,
0.1,ExactCIs Original,0.32957583120000017,527.3213299200003,0.05761098861694336
0.1,ExactCIs Improved,0.32957583120000017,527.3213299200003,1.9788742065429688e-05
0.1,SciPy Approximation,1.6611695796632318,52.43962577786375,0.0004029273986816406
0.1,R Fisher's Exact,1.155327,84.045604,
0.1,R Unconditional,1.155327,84.045604,
